"PlantID" "Year" "Electricity" "SO2" "NOX" "CapStock" "Employees" "HC_Coal" "HC_Oil" "HC_Gas" "Phase1"
"1" 3 1985 23.3014739726027 130.355808219178 70.9840547945205 1896501128.4 430 66634.8614844164 48.4415298618904 816.387273920548 0
"2" 8 1985 19.3212054794521 203.142821917808 63.2537808219178 1787548168.8 511 56989.3507978356 146.236088512701 0 0
"3" 470 1985 9.62464383561644 37.218301369863 44.3494794520548 923380709.28 114 28964.9975875233 45.2491641189863 8.54086273150685 0
"4" 602 1985 7.12204657534247 38.0283287671233 21.5857808219178 1221599266.8 120 20821.104353589 226.773621197507 0 0
"5" 641 1985 12.1228493150685 273.070082191781 53.4544657534247 1414483357.2 221 36217.1509147069 59.1368689972603 380.027482191781 0
"6" 708 1985 13.3403479452055 170.140273972603 61.863397260274 994836744.96 309 41111.6473049096 55.3126668164384 0 0
"7" 709 1985 30.8035424657534 266.093150684932 124.100904109589 1643345940.96 469 82802.0444282301 40.3126215780822 0 0
"8" 728 1985 18.3480301369863 346.423616438356 60.288 1579128077.04 454 54007.7242246685 70.7814634684932 0 0
"9" 856 1985 8.19246575342466 53.2385205479452 34.2950136986301 1023093729.84 151 23887.2025330027 27.2811670339562 0 0
"10" 861 1985 10.4545342465753 375.504383561644 88.7657260273973 1216797043.44 302 33024.0087370356 37.7076991536 0 0
"11" 862 1985 1.26487726027397 31.5998082191781 6.68016438356164 483952520.16 104 4123.49008241096 16.2449174729589 0 0
"12" 863 1985 2.30594821917808 55.4878356164384 12.0955342465753 369079310.88 93 7102.61134869041 15.206444242126 0 0
"13" 864 1985 3.73042849315068 87.1219452054794 13.1970684931507 729429072.96 147 11313.3773559288 103.368370424795 0 0
"14" 876 1985 13.4690849315069 464.493315068493 122.241671232877 1466565401.76 341 44670.4090012274 0 68.3047409424658 0
"15" 879 1985 16.8674849315068 97.0828767123288 84.4634246575342 3103305630.48 431 54997.6095006411 0 71.1397315068493 0
"16" 887 1985 17.1238657534247 289.329424657534 57.6233150684931 2012225703.84 359 52355.5792753973 23.1957118170247 0 0
"17" 889 1985 29.3500460273973 725.33098630137 183.321835616438 1912105550.16 264 85643.4166922302 78.8446622465754 0 0
"18" 983 1985 26.7849726027397 712.602219178082 181.718493150685 1888265017.92 392 76964.7734835288 11.0072274410959 0 0
"19" 988 1985 9.57052876712329 177.191753424658 57.9438356164384 1815270801.12 328 28053.8835858575 175.761229265655 0 0
"20" 991 1985 1.91658904109589 41.6132328767123 7.2881095890411 614939376.72 96 6463.14738263014 99.702414 0 0
"21" 994 1985 18.3923424657534 229.153369863014 56.7236164383562 1953293957.52 280 55650.0724460384 113.360278931507 0 0
"22" 1004 1985 0.661808219178082 21.0516438356164 4.3347397260274 360877683.84 71 2499.23576196164 23.5623462410959 0 0
"23" 1008 1985 6.10777534246575 166.881506849315 30.1081095890411 793065073.68 161 18590.1797168548 74.8450998246575 0 0
"24" 1012 1985 5.81704139726027 166.630082191781 31.5608493150685 551664356.4 87 17891.3580756329 4.66390795068493 12.7878083506849 0
"25" 1047 1985 3.07786871232877 16.3694520547945 21.7485479452055 520525859.76 52 9947.39269928219 39.186269260274 0 0
"26" 1250 1985 3.79787945205479 11.6082739726027 15.8404109589041 631606415.04 137 13269.9470413973 0 366.190162068493 0
"27" 1355 1985 8.67473150684932 148.238246575342 30.9098356164384 708909389.28 132 27426.4643953315 44.8058905249315 0 0
"28" 1356 1985 17.7902383561644 250.794931506849 64.7006301369863 2167205306.64 228 55946.7559589918 220.762356440548 0 0
